scenario,supplier_id,supplier_name,disruption_days,demand_spike,sku_id,product_name,category,current_stock,avg_daily_demand,days_to_stockout,stockout_occurs,days_without_stock,units_short,revenue_at_risk_inr,emergency_cost_inr,urgency_level,recommended_action
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU025,Dry Fruits Mix 250g,Snacks,264.0,16.2,16.3,True,4.699999999999999,76.0,23220.28,19917.7,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU030,Granola 300g,Snacks,165.0,16.0,10.3,True,10.7,171.0,65026.17,48681.56,CRITICAL,🔴 CRITICAL — Emergency procurement needed NOW
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU028,Baked Chips 150g,Snacks,385.0,16.0,24.1,False,0.0,0.0,0.0,0.0,SAFE,✅ Safe — Current stock sufficient
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU024,Rice Crackers 150g,Snacks,174.0,15.7,11.1,True,9.9,155.0,48400.3,37025.62,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU027,Makhana 100g,Snacks,280.0,15.7,17.8,True,3.1999999999999993,50.0,14998.5,9988.75,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU029,Trail Mix 200g,Snacks,233.0,16.2,14.4,True,6.6,107.0,43385.29,32791.49,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU026,Protein Bar 60g,Snacks,379.0,15.8,24.0,False,0.0,0.0,0.0,0.0,SAFE,✅ Safe — Current stock sufficient
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU022,Mathri 400g,Snacks,398.0,16.0,24.9,False,0.0,0.0,0.0,0.0,SAFE,✅ Safe — Current stock sufficient
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU023,Namkeen Mix 300g,Snacks,260.0,15.8,16.5,True,4.5,71.0,26796.11,20790.57,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario A: SnackFactory India fails (21 days),SUP008,SnackFactory India,21,1.0,SKU021,Roasted Chana 200g,Snacks,194.0,16.2,12.0,True,9.0,146.0,30008.84,19755.62,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU002,Toor Dal 1kg,Staples,413.0,33.1,12.5,True,1.5,50.0,8235.0,7093.12,WATCH,"🟡 Monitor — Will run low, plan alternative"
Scenario B: Diwali Spike 1.8x Demand (14 days),SUP001,Agro Fresh Pvt Ltd,14,1.8,SKU009,Poha 500g,Staples,354.0,34.3,10.3,True,3.6999999999999993,127.0,19427.19,15701.96,WATCH,"🟡 Monitor — Will run low, plan alternative"
